1871,Staghorn stone: Surgical,,
1873,Suture renal laceration (renorraphy),,
1875,"Percutaneous aspiration cyst: Nephrostomy, pyelostomy",,
1877,Operation for renal cyst: Marsupialisation or excision,,
1879,Closure renal fistula,,
1881,Pyeloplasty,,
1883,Pyelostomy,,
1885,Pyelolithotomy,,
1887,"Complicated pyelo-lithotomy (e.g. solitary, ectopic, horse-shoe kidney or secondary operation)",,
1889,Nephrectomy for Allograft: Living or dead,,
1891,Perinephric abscess or renal abscess: Drainage,,
1893,Aberrant renal vessels: Repositioning with pyeloplasty,,
1894,Auto transplantation of kidney,,
1895,Allo transplantation of kidney,,
1897,Ureterorraphy: Suture of ureter,,
1898,Ureterorraphy: Lumbar approach,,
1899,Ureteroplasty,,
1901,Ureterolysis,,
1902,Ureterolysis: Lumbar approach,,
1903,Ureterectomy only,,
1905,"Ureterolithotomy, TURBT, Kidney stones, Lazer kidney stones",T,
1907,Cutaneous ureterostomy: Unilateral,,
1909,Cutaneous ureterostomy: Bilateral,,
1911,Uretero-enterostomy: Unilateral,,
1913,Uretero-enterostomy: Bilateral,,
1915,Uretero-ureterostomy,,
1917,Transuretero-ureterostomy,,
1919,Closure of ureteric fistula,,
1921,Immediate deligation of ureter,,
1923,Ureterolysis for retrocaval ureter with anastomosis,,
1925,Uretero-pyelostomy,,
1927,Uretero-neo-cystostomy: Unilateral,,
1929,Uretero-neo-cystostomy: Bilateral,,
1931,Uretero-neo-cystostomy: With Boariplasty,,
1933,Uretero-sigmoidostomy with rectal bladder and colostomy,,
1935,Uretero-ileal conduit,,
1937,Replacement of ureter by bowel segment: Unilateral,,
1939,Replacement of ureter by bowel segment: Bilateral,,
1941,Ureterostomy-in-situ: Unilateral,,
1943,Ureterostomy-in-situ: Bilateral,,
1945,Instillation of radio-opaque material for cystography or urethrocystography,,
1947,"Instillation of anti-carcinogenic agent including retention time, but not cost of material or hydro-dilatation of bladder",,
1949,"Cystoscopy: Hospital equipment, S+P(Scope & Turp), JJ Stent, Stone manipulation, Pielogram",T,
1951,And retrograde pyelography or retrograde ureteral catheterisation: Unilateral or bilateral,,
1952,"JJ Stent catheter, Stent removal",,
1953,With hydrodilatation of the bladder for interstitial cystitis,,
1954,"Uretroscopy, Urethroscopy",T,
1955,And bilateral ureteric catheterisation with differential function studies requiring additional attention time,,
1957,With dilatation of the ureter or ureters,,
1959,With manipulation of ureteral calculus,T,
1961,With removal of foreign body or calculus from urethra or bladder,,
1963,"With fulguration or treatment of minor lesions, with or without biopsy",,
1964,And control of haemorrhage and blood clot evacuation,,
1965,And catheterisation of the ejaculatory duct,,
1967,With ureteric meatotomy: Unilateral or bilateral,,
1969,And cold biopsy,T,
1971,With cryosurgery for bladder or prostatic disease,,
1973,"With incision fulguration, or resection of bladder neck and/or posterior urethra for congenital valves or obstructive hypertrophic bladder neck in a child",,
1975,Ultraviolet cystoscopy for bladder tumour,,
1976,Optic urethrotomy,,
1977,Transurethral resection of ejaculatory duct,,
1979,Internal urethrotomy: Female,,
1981,Internal urethrotomy: Male,,
1983,Transurethral resection of bladder tumour,,
1984,Transurethral resection of bladder tumours: Large multiple tumours,,
1985,Transurethral resection of bladder neck: Female or child,,
1986,Transurethral resection of bladder neck: Male,,
1987,Litholapaxy,,
1989,Cystometrogram,,
1991,"Flometric bladder, studies with videocystograph",,
1992,Without videocystograph,,
1993,"Voiding cysto-urethrogram, VCU",,
1994,Rigiscan examination,,
1995,Percutaneous aspiration of bladder,,
1996,Bladder catheterisation: Male (not at operation),T,
1997,Bladder catheterisation: Female (not at operation),,
1999,Percutaneous cystostomy,,
2001,Total cystectomy: After previous urinary diversion,,
2003,Total cystectomy: With conduit construction and ureteric anastomosis,,
2005,Cystectomy with substitute bowel bladder construction with anastomosis to urethra or trigone,,
2006,Cystectomy with continent urinary diversion (e.g. Kocks Pouch),,
2007,Partial cystectomy,,
2008,Continent urinary diversion without cystectomy (e.g. Kocks Pouch),,
2009,"Radical total cystectomy with block dissection, ileal conduit and transplantation of ureters",,
2010,Reversion of temporary conduit,,
2011,Partial cystectomy with uretero-neo-cystostomy,,
2012,Reversion of conduit with major urinary tract reconstruction,,
2013,Diverticulectomy (independent procedure): Multiple or single,T,
2015,Suprapubic cystostomy,,
2016,Abdomino-neo-urethrostomy,,
2017,Open loop fulguration or excision of bladder tumour,,
2019,Operation for vesico-vaginal or urethra-vaginal fistula,,
2020,Repair of vesico vaginal fistula: Abdominal approach,,
2021,Vesico-plication (Hamilton Stewart),,
2023,Vesico-urethropexy for correction or urinary incontinence: Abdominal approach,,
2025,Vesico-urethropexy with rectus sling,,
2027,Open operation for ureterocele: Unilateral,,
2029,Open operation for ureterocele: Bilateral,,
2031,Reconstruction of ectopic bladder exclusive of orthopaedic operation (if required): Initial,,
2033,Reconstruction of ectopic bladder exclusive of orthopaedic operation (if required): Subsequent,,
2035,Cutaneous vesicostomy,,
2037,"Cystoplasty, cysto-urethraplasty, vesicolysis",,
2039,Operation for ruptured bladder,,
2042,Enterocystoplasty plus bowel anastomosis,,
2043,Cysto-lithotomy,,
2045,Excision of patent-urachus or urachal cyst,,
2047,Drainage of perivesical or prevesical abscess,,
2049,Evacuation of clots from bladder: Other than post-operative,,
2050,Evacuation of clots from bladder: Post-operative,,
2051,Simple bladder lavage: Including catheterisation,,
2053,Bladder neck plasty: Male,,
2057,Bladder neck plasty: Female,,
2059,Open biopsy of urethra: Male,,
2061,Open biopsy of urethra: Female,,
2063,Dilatation of urethra stricture: By passage sound: Initial (male),,
2065,Dilatation of urethra stricture: By passage sound: Subsequent (male),,
2067,Dilatation of urethra stricture: By passage sound: By passage of filiform and follower (male),,
2069,Dilatation of female urethra,,
2071,Urethrorraphy: Suture of urethral wound or injury,,
2073,External urethrotomy: Pendulous urethra (anterior),,
2075,Urethraplasty: Pendulous urethra: First stage,,
2077,Urethraplasty: Pendulous urethra: Second stage,,
2079,Reconstruction of female urethra,,
2081,Reconstruction or repair of male anterior urethra (one stage),,
2083,Reconstruction or repair of prostatic or membranous urethra: First stage,,
2085,Reconstruction or repair of prostatic or membranous urethra: Second stage,,
2086,"Reconstruction or repair of prostatic or membranous urethra: If done in one stage, Open prostatectomy",,
2087,Urethral diverticulectomy: Male or female,,
2088,"Peri-urethral teflon injection: Male or female - fee as for cystoscopy (item 1949) plus 42,00 clinical procedure units",,
2089,Marsupialisation of urethral diverticula: Male or female,,
2091,Total urethrectomy: Female,,
2093,Total urethrectomy: Male,,
2095,Drainage of simple localised perineal urinary extravasation,,
2097,"Drainage of extensive perineal and/or abdominal urinary extravasation,  Abdominal Fluid Drainage (If not paid change to 2558)",,
2099,Fulguration for urethral caruncle or polyp,,
2101,Excision of urethral caruncle,T,
2103,Simple urethral meatotomy,,
2105,Incision of deep peri-urethral abscess: Female,T,
2107,"Incision of deep peri-urethral abscess: Male, Penile Abscess",T,
2109,Badenoch pull-through for intractable stricture or incontinence,,
2111,External sphincterotomy,,
2113,Drainage of Skene gland abscess or cyst,,
2115,Operation for correction of male urinary incontinence with or without introduction of prostheses (excluding cost of prostheses),,
2116,Urethral meatoplasty,,
2117,Closure of urethrostomy or urethro-cutaneous fistula (independent procedure),,
2121,Closure of urethrovaginal fistula: Including diversionary procedures,,
2123,Biopsy of penis (independent procedure),,
2125,Destruction of condylomata/chemo- or cryotherapy: Limited number (see item 2317),,
2127,Destruction of condylomata/chemo-or cryotherapy: Multiple extensive,,
2129,Electrodesiccation: Limited number,,
2131,Electrodesiccation: Multiple extensive,,
2132,Ligation of abnormal venous drainage,,
2133,Circumcision: Clamp procedure,T,
2137,"Circumcision: Surgical excision other than by clamp or dorsal slit, any age",T,
2139,"Circumcision: Dorsal slit of prepuce (independent procedure), Paraphimosis",,
2141,Reconstructive operation of penis: Reconstructive operation for insertion of prostheses,,
2143,"Reconstructive operation of penis: For straightening of chordee e.g. hypospadias with or without mobilisation of urethra, Chordee",T,
2145,Reconstructive operation of penis: For straightening of chordee with transplantation of prepuce,T,
2147,"Reconstructive operation of penis: For injury: Including fracture of penis and skin graft, if required",T,
2149,Reconstructive operation of penis: For epispadias distal to the external sphincter,T,
2153,Reconstructive operation for epispadias with incontinence,T,
2154,Induction of artificial erection,T,
2155,Hypospadias: Urethral reconstruction,T,
2157,Hypospadias: Subsequent procedures for repair of urethra: Total,T,
2159,"Hypospadias: Urethraplasty: Complete, one stage for hypospadias",T,
2161,Total amputation of penis: Without gland dissection,T,
2163,Total amputation of penis: With gland-dissection,T,
2165,Partial amputation of penis: With gland-dissection,T,
2167,Partial amputation of penis: Without gland-dissection,T,
2169,Injection procedure for Peyronie's disease,,
2171,Priapism operation: Irrigation of corpora cavernosa for priapism,,
2173,Priapism operation: Shunt procedure: Any type,,
2174,Priapism operation: Stab shunt,,
2175,Testis biopsy: Needle (independent procedure),,
2177,Testis biopsy: Incisional: Independent procedure: Unilateral,,
2179,Testis biopsy: Incisional: Independent procedure: Bilateral,,
2181,Epididymis biopsy: Needle,,
2183,Puncture aspiration hydrocele with or without injection of medication,,
2185,"Operation for maldescended testicle: Including herniotomy, Orchidopexy, Undescended testicle",T,
2187,Operation for torsion appendix testis,T,
2189,"Operation for torsion testis with fixation of contralateral testis, Torsie testis, Orchiopexy for torsion",T,
2191,"Orchidectomy (total or subcapsular): Unilateral, Orchidopexy",T,
2193,Orchidectomy (total or subcapsular): Bilateral (for male only) ,T,
2195,Radical operation for malignant testis: Excluding gland dissection,,
2197,Operation for hydrocele or spermatocele,T,
2198,,,
2199,Varicocelectomy,T,
2201,"Abdominal ligation of spermatic vein for varicocele, Spermatic embolisation",T,
2203,Epididymectomy: Unilateral,T,
2205,Epididymectomy: Bilateral,T,
2207,Vasectomy: Unilateral or bilateral (no extra fee to be charged if done in combination with prostatectomy),T,
2209,Vasotomy: Unilateral or bilateral,,
2210,"Vasogram, seminal vesiculogram: Unilateral",,
2211,"Vasogram, seminal vesiculogram: Bilateral",,
2212,Insertion of testicular prosthesis: Independent procedure (exclusive of cost of material),,
2213,Suture or repair of testicular injury,,
2215,Incision and drainage of testis or epididymis e.g. abscess or haematoma,,
2217,Excision of local lesion of testis or epididymis,,
2219,Vaso-vasostomy: Unilateral,,
2221,Vaso-vasostomy: Bilateral,,
2223,Epididymo-vasostomy: Unilateral,,
2225,Epididymo-vasostomy: Bilateral,,
2227,Incision and drainage of scrotal wall abscess,,
2229,Excision of Mullerian duct cyst,,
2231,Excision of lesion of spermatic cord,,
2233,Seminal Vesiculectomy,,
2235,"Biopsy prostate: Needle or punch, single or multiple, any approach",T,
2237,"Biopsy prostate: Incisional, any approach",,
2239,"Transurethral drainage of prostatic abscess, Thoracotomy",,
2241,Perineal drainage of prostatic abscess,,
2243,Trans-urethral cryo-surgical removal of prostate,T,
2245,"Trans-urethral resection of prostate, TURP",T,
2247,Trans-urethral resection of residual prostatic tissue 90 days post-operative or longer,,
2249,Trans-urethral resection of post-operative bladder neck contracture,,
2251,Prostatectomy: Perineal: Sub-total,,
2253,Prostatectomy: Perineal: Radical,,
2254,Pelvic lymph adenectomy,,
2255,"Supra-pelvic, transversical",,
2257,Retropubic: Sub-total,,
2259,"Retropubic: Radical, Robotic prostatectomy (Discovery claims 6999 Change discription to rule C)",,
2260,"Prostate brachytherapy, Bragiterapie prostaat",T,
2271,Removal of tag or polyp,,
2272,Removal of small superficial benign lesions,,
2273,"Biopsy with suture in theatre (excluding after-care), Biopsy abdominal mass",,
2274,Laser therapy of vulva and/or vagina (colposcopically directed),,
2275,Reduction labial hypertrophy,,
2277,Removal of extensive benign vulva tumour,,
2278,"Perineoplasty, non-obstetrical - stand alone procedure",,
2279,"Colpoperineorraphy: Repair secondary perineal tear, suture of injury of vagina and/or perineum",,
2280,"Colpoperineorraphy: Repair third degree tear, including anal sphincter repair, suture of injury of vagina and/or perineum",,
2281,Excision of inclusion cyst,,
2283,Hymenectomy,,
2285,Drainage haematocolpos,,
2287,"Clitoris repair for injury: Including skin graft, if required",,
2288,Clitoral reduction,,
2289,Denervation or alcohol infiltration vulva (Woodruff),,
2291,Vulva: Undercutting skin (ball),,
2293,Vulva and introitus: Drainage of abscess,,
2295,Bartholin gland: Bartholin abscess marsupialisation,,
2297,Bartholin gland: Bartholin gland excision,,
2299,Bartholin gland: Bartholin radical excision for malignant lesion,,
2301,Operation for enlarging introitus: Fenton plasty,,
2303,Operation for enlarging introitus: Bilateral Z-plastic,,
2305,Vulvectomy: Partial,T,
2307,Vulvectomy,T,
2309,Radical vulvectomy with bilateral lymphdenectomy,,
2311,"Radical vulvectomy with bilateral lymphadenectomy, plus deep lymph gland dissection",,
2312,Artificial insemination,,
2313,"Examination under anaesthetic when no other procedures are performed (not limited to female patients only) - Stand alone procedure, EUA, Change of invasive lines, Trans-oesophageal echocariography (Always to be billed with code 3637 and use C/U) (0032 & 0034 not applicable)",,
2314,Intra uterine insemination,,
2315,Simms Huhner test plus wet smear,,
2316,"Destruction of condylomata by chemo-, cryo-, or electrotherapy, or harmonic scalpel: First lesion",,
2317,"Destruction of condylomata by chemo-, cryo-, or electrotherapy, or harmonic scalpel: Repeat - Limited",,
2318,"Destruction of condylomata by chemo-, cryo-, or electrotherapy, or harmonic scalpel: Widespread",,
2319,Excision of cysts or tumours,T,
2321,Drainage of vaginal abscess,,
2322,Pudendal nerve block,,
2323,Reconstruction of vagina after atresia,,
2325,Construction of artificial vagina: Labial fusion,,
2327,Construction of artificial vagina: Macindoe type,,
2328,"Paravaginal/site specific defect repair (including repair of cystocele, if performed, laparoscopic approach",,
2329,Construction of vagina: Bowel pull-through operation: Two surgeons: Each,,
2331,Vaginal septum removal,,
2333,Sacrocolpopexy: Abdominal approach with use of mesh,,
2336,Vaginal tape (Discontinued change to 2361),,
2337,"Colpopexy: Vaginal, extra-peritoneal approach (sacrospinous, iliococcygeus)",,
2338,"Colpopexy: Vaginal, intra-peritoneal approach (uretrosacral, levator myorrhaphy)",,
2339,Colpotomy: Diagnostic (excluding after-care),,
2340,Sacrocolpopexy: Laparoscopic with use of mesh,,
2341,"Colpotomy: Therapeutic, with or without sterilisation",,
2343,Vaginal hysterectomy: Without repair,T,
2345,Vaginal hysterectomy: With repair,T,
2354," Anterior colporrhaphy, repair of cystocele with or without repair of urethrocele",,
2355,"Posterior colporrhaphy, repair of rectocele with or without perineorrhaphy",,
2357,Vaginal hysterectomy and repair with unilateral or bilateral salpingo-oophorectomy,T,
2358,"Anteroposterior colporrhaphy without enterocele repair, with or without perineorrhaphy",,
2359,"Anteroposterior colporrhaphy with enterocele/apical repair, with or without perineorrhaphy",,
2360,"Insertion of mesh/other prosthesis for repair of pelvic floor defect, each site (anterior, posterior compartment), vaginal approach (To be added to appropriate primary procedure code)",,
2361,Vaginal hysterectomy and repair for total prolapse,,
2362,"Enterocele repair, vaginal approach - stand alone procedure",,
2363,Fothergill or Manchester repair operation,,
2364,"Enterocele repair, abdominal approach - stand alone procedure",,
2365,Trans abdominal repair entrocele,,
2367,AP herstel,,
2368,Uterovesical fistula,,
2369,Repair of Vesico- or urethro-vaginal fistula,,
2370,Repair of VVF - Obstetric or radiation,,
2371,Closure of uretero-vaginal fistula,,
2372,Closure of uretero-vaginal fistula: Obstetric or radiation,,
2373,Closure of recto-vaginal fistula,,
2374,Closure of recto-vaginal fistula: Obstetric or radiation,,
2375,Colpocleisis (Le Fort operation),,
2379,Schauta operation,,
2381,Vaginectomy,,
2383,Synchronous combined hysterocolpectomy: One or two surgeons - total fee,,
2385,Vaginal laceration or trauma: Repair,,
2386,"Paravaginal/site specific defect repair (including repair of cystocele, if performed), abdominal approach",,
2387,"Paravaginal/site specific defect repair (including repair of cystocele, if performed), vaginal approach",,
2389,Paracervical nerve block,,
2391,Cervix: Canal reconstruction,,
2392,"Cryo- or electro-cauterisation, or Lletz of cervix (excluding cost of disposable loop electrode): In consulting room",,
2395,"Cryo- or electro-cauterisation, or Lletz of cervix (excluding cost of disposable loop electrode): Under anaesthetic, LLETZ",,
2396,"Laser or harmonic scalpel treatment of the cervix, Cervix cauterisation",,
2397,Dilation of cervix for stenosis and insertion of prosthesis and Budge suture,,
2399,Punch biopsy (excluding after-care),,
2400,Biopsy during pregnancy (excluding after-care),,
2403,Wedge biopsy: Cervix (excluding after-care),,
2404,Biopsy: Wedge during pregnancy: Cervix (excluding after-care),,
2405,Cone biopsy: Cervix (excluding after-care),T,
2407,Amputation: Cervix,,
2409,"Cervix encirclage: McDonald stitch, Cervical cerclage",,
2411,Cervix encirclage: Shirodkar suture,,
2413,Cervix encirclage: Lash,,
2415,Cervix encirclage: Removal items 2409 and 2411: Without anaesthetic,,
2416,Cervix: Removal items 2409 and 2411: With anaesthetic in theatre,,
2417,Repair of tears: Emmet repair of tears,,
2418,Repair of tears: Sturmdorff repair of tears,,
2421,Extirpation of cervical stump: Vaginal,,
2423,Extirpation of cervical stump: Abdominal,,
2425,Removal of cervical polyps (excluding after-care),,
2427,Removal of cervical myomata,,
2429,Colposcopy (excluding after-care),,
2432,Hysteroscopic tubal occlusion,,
2433,Embryo transfer,,
2434,Endometrial biopsy (excluding after-care),,
2435,Hysterosalpingogram (excluding after-care),,
2436,Hysteroscopy (excluding after-care),T,
2437,Hysteroscopy and D&C (excluding after-care),T,
2438,Hysteroscopy and removal of uterine septum (excluding after-care),T,
2439,Hysteroscopy and division of endometrial and endocervical bands (excluding after-care),T,
2440,Hysteroscopy and polypectomy (excluding after-care),,
2441,"Hysteroscopy and myomectomy (excluding after-care), D & C for menoragia",T,
2442,"Insertion of intra uterine contraceptive device (IUCD) (excluding after-care), Marena Mirena",,
2443,"Dilatation and curettage (D&C) (excluding after-care), Abortion, DD (Baarmoeder skoon maak), Dil + Karretasie, Uterus: Lediging van uterus",T,
2444,Fractional dilatation and curettage (D&C) (excluding after-care) ,T,
2445,Evacuation of uterus: Incomplete abortion: Before 12 weeks gestation,T,
2447,"Evacuation of uterus, incomplete abortion: After 12 weeks gestation",,
2448,Termination of pregnancy before 12 weeks,,
2449,Evacuation: Missed abortion: Before 12 weeks gestation,,
2451,Evacuation: Missed abortion: After 12 weeks gestation,,
2452,Termination of pregnancy after 12 weeks - administration of intra/extra amniotic prostaglandin,,
2453,Evacuation hydatidiform mole,,
2455,Evacuation uterus post-partum,,
2461,Ventrosuspension,,
2463,Uteroplasty: Strassman,,
2465,Uteroplasty: Tompkins,,
2467,Myomectomy,,
2469,Subtotal hysterectomy with or without unilateral or bilateral salpingo-oophorectomy,,
2471,"Total abdominal hysterectomy: With or without unilateral or bilateral salpingo-oophorectomy - uncomplicated, TAH",,
2473,Total abdominal hysterectomy plus vaginal cuff with or without unilateral or bilateral salpingo-oophorectomy,T,
2475,Radical abdominal hysterectomy with bilateral lymphadenectomy (Wertheim),,
2477,Abdominal hysterotomy with or without sterilisation,,
2478,"Non-surgical endometrial destruction, any method, not utilising hysteroscopic instrumentation or assistance",,
2479,"Surgical endometrial destruction: Any method, utilising hysteroscopic instrumentation or assistance",,
2480,Laparoscopy by second gynaecologist during endometrial ablation (item 2479),,
2481,Insufflation Fallopian tubes (excluding after-care),,
2483,Salpingolysis,,
2485,Salpingostomy,,
2487,Tuboplasty tubal anastomosis or re-implantation,,
2489,Ectopic pregnancy under 12 weeks (salpingectomy),,
2490,Ectopic pregnancy under 12 weeks (salpingostomy),,
2491,Ectopic pregnancy - after 12 weeks,,
2492,Salpingectomy: Uni- or bilateral or sterilisation for accepted medical reasons,,
2493,Diagnostic laparoscopy (excluding after-care) (Only for woman),T,
2496,Laparoscopy: Plus aspiration of a cyst (excluding after-care),,
2497,Laparoscopy: Plus sterilisation,,
2499,Laparoscopy: Plus biopsy (excluding after-care),,
2500,"Laparoscopy: Plus ablation of endometriosis by laser, harmonic scalpel or cautery, Endometriosis",T,
2501,Laparoscopy: Plus cauterisation and/or lysis of adhesions,,
2502,Laparoscopy: Plus aspiration of follicles (IVF) (excluding after-care),,
2503,Laparoscopy: Plus ovarian drilling,,
2504,Laparoscopy: Plus Gamete intra fallopian tube transfer (includes follicle aspiration) (GIFT),,
2505,Laparoscopy: Plus laparoscopic uterosacral nerve ablation,,
2506,Transcervical gamete/embryo intra-fallopian tube transfer (TET/TEST),,
2525,"Wedge resection of ovaries, unilateral or bilateral",,
2527,Removal of ovarian tumour or cyst,,
2529,Oophorectomy: Uni- or bilateral,,
2531,Ovarian carcinoma debulking and omentectomy,,
2532,"Ovarian carcinoma: Abdominal hysterectomy, bilateral salpingo-oophorectomy, debulking and omentectomy",,
2535,Exenteration: Anterior Exenteration,,
2537,Exenteration: Posterior Exenteration,,
2539,Exenteration: Total,,
2541,Presacral neurectomy,,
2542,Removal/revision: Sling for stress incontinence (e.g. fascia or synthetic),,
2543,Moschowitz operation,,
2544,Laparoscopic vaginal suspension for stress incontinence (item 1807 may not be added to this item),,
2545,Surgery for stress incontinence: Vesicourethropexy/urethropexy; abdominal approach,,
2548,"Surgery for stress incontinence: Use of tape/fascia, Obturator Sling, Operation of stress incontinence: Use of tape, TVT sling",T,
2550,Surgery for stress incontinence: Urethro-vesicopexy: Combined abdominal and vaginal approach,,
2551,Laparotomy,,
2552,Removal benign retroperitoneal tumour,T,
2553,Radical removal of malignant retroperitoneal tumour,T,
2554,"Drainage of pelvic abscess per abdomen, Dreinasie Buikwand (For woman only)",T,
2556,Drainage of pelvic abscess per vagina (refer to item 2341),T,
2558,"Drainage intra-abdominal abscess: Delayed closure, Abdominal fluid drainage",T,
2560,Surgery for moderate endometriosis (AFS stages 2 + 3): Any method,,
2561,Surgery for severe endometriosis (AFS stage 4 - retrovaginal septum): Any method (may not be used with another procedure or as a modifier),,
2562,Treatment of endometriosis (any method) found as an incidental finding during surgery for unrelated condition (histology required),,
2565,Implantation hormone pellets (excluding after-care),,
2570,Ligation of internal iliac vessels (when not part of another procedure),,
2599,Pregnancy reduction(s): Multifoetal (MPR),,
2600,Foeticide (includes ultrasound guidance),,
2603,External cephalic version (excluding after-care),,
2604,"Amniocentesis: Therapeutic, amniotic fluid reduction (includes ultrasound guidance)",,
2605,Amniocentesis: Diagnostic,,
2606,Cordocentesis (intrauterine): Any method,,
2607,Amnioscopy (excluding after-care),,
2608,Foetal umbilical cord occlusion (TTTS) (includes ultrasound guidance),,
2609,"Transfusion, intrauterine: Foetal",,
2610,Tococardiography - pre-natal and intrapartum (including stress and non-stress test: Own machine) (excluding after-care),,
2611,Chorionic villus sampling: Any method,,
2612,"Foetal fluid drainage (eg., vesicocentesis, thoracocentesis, paracentesis) (includes ultrasound guidance)",,
2613,Foetal shunt placement (includes ultrasound guidance),,
2614,"Global obstetric care: All inclusive fee that includes all modes of vaginal delivery (excluding Caesarean section) and obstetric care from the commencement of labour until after the post-partum visit (6 weeks visit), Labour epidural, Vaginal delivery",T,
2615,"Global obstetric care: All inclusive fee for caesarean section and obstetric care from the commencement of labour until after the post-partum visit (6 weeks visit). See modifier 0011 for emergency caesarean section (all hours), Emergency caeserian section, C section (Emergency O82.1, Normal O82.0)",T,
2616,Intrapartum obstetric care by obstetrician in consultation (excluding after-care),,
2653,Caesarean-hysterectomy,,
2657,Post-partum hysterectomy,,
2669,Abdominal operation for ruptured gravid uterus: Repair,,
2681,Visual evoked potentials (VEP): Unilateral,,
2682,Visual evoked potentials (VEP): Bilateral,,
2683,Electro-retinography (Ganzfeld method): Unilateral,,
2684,Electro-retinography (Ganzfeld method): Bilateral,,
2685,Electro-oculography: Unilateral,,
2686,Electro-oculography: Bilateral,,
2687,VEP stable condition (photic drive): Unilateral,,
2689,VEP stable condition (photic drive): Bilateral,,
2690,Total fee for full evaluation of visual tracts including bilateral electroretinography and VEP,,
2691,"Short latency brainstem evoked potentials (AEP) neurological examination, single decibel: Unilateral",,
2692,"Short latency brainstem evoked potentials (AEP) neurological examination, single decibel: Bilateral",,
2693,AEP: Audiological examination: Unilateral at a minimum of 4 decibels,,
2694,AEP: Audiological examination: Bilateral at a minimum of 4 decibels,,
2695,Audiology 40Hz response: Unilateral,,
2696,Audiology 40Hz response: Bilateral,,
2697,Mid- and long latency auditory evoked potentials: Unilateral,,
2698,Mid- and long latency auditory evoked potentials: Bilateral,,
2699,Electro-cochleography: Unilateral,,
2700,Electro-cochleography: Bilateral,,
2702,Total fee for audiological evaluation including bilateral AEP and bilateral electro-cochleography,,
2703,"Somatosensory evoked potentials (SEP) single nerve examination to brachial or lumbosacral plexus, spinal cord and cortex",,
2705,"Transcutaneous nerve stimulation in the treatment of post-operative and chronic intractable pain, per treatment",,
2707,"Full fee for complete neurological evoked potential evaluation including neurological AEP, bilateral VEP, and bilateral median and/or posterior tibial stimulation",,
2708,Evaluation of cognitive evoked potential with visual or audiology stimulus,,
2709,Full spinogram including bilateral median and posterior-tibial studies,,
2710,Morphia saturation testing in rooms (consultation x2 plus item 0206: Intravenous infusion) (excluding injection material),,
2711,Electro-encephalogram (EEG): 20-40 minutes record: Equipment cost (Owner of equipment and taking of record) (Technical component) (refer to item 2712 for interpretation and report),,
2712,Clinical interpretation and report of item 2711: Electro-encephalogram (EEG): 20-40 minutes record (Professional component),,
2713,"Spinal (lumbar) puncture. For diagnosis, for drainage of spinal fluid or for therapeutic indications (Do not bill on Discovery and Gems)",,
2714,Cisternal puncture and/or intrathecal injections,,
2717,Electromyography: First,,
2718,Electromyography: Subsequent,,
2719,Overnight polysomnogram and sleep staging: Hire,,
2720,Overnight polysomnogram and sleep staging: Interpretation,,
2721,Daytime polysomnogram: Hire,,
2722,Daytime polysomnogram: Interpretation,,
2723,Clinical interpretation and report of item 6014: Sleep testing: Multiple sleep latency test (Professional component),,
2724,Overnight continuous positive airways pressure (CPAP) titration,,
2725,Angiography carotis: Unilateral,,
2726,Angiography carotis: Bilateral,,
2727,Vertebral artery: Direct needling,,
2729,Vertebral catheterisation,,
2730,"Neostigmine Test, the diagnostic test for Myasthenia Gravis under the supervision of a neurologist ('20') (not to be used with item 0714)",,
2731,Air encephalography and posterior fossa tomography: Injection of air (independent procedure),,
2733,Cortical Stimulation,,
2734,Wada activation test for hemispheric function: Includes electroencephalographic (EEG) monitoring,,
2735,Air encephalography and posterior fossa tomography: Posterior fossa tomography attendance by clinician,,
2737,Air encephalography and posterior fossa tomography: Visual field charting on Bjerrum Screen,,
2739,Ventricular needling without burring: Tapping only,,
2741,Ventricular needling without burring: Plus introduction of air and/or contrast dye for ventriculography,,
2743,Subdural tapping: First sitting,,
2745,Subdural tapping: Subsequent,,
2747,Ventriculography,,
2749,"Catheterisation for ventriculography and/or drainage, Lvad insertion",,
2751,"Biopsy of brain tumour, BURR holes with or without shunt, Burr holes or trephine, Includes biopsy of brain or intracranial lesion",T,
2753,Subdural haematoma or hygroma,,
2755,Subdural empyema,,
2757,Brain abscess,,
2759,Nerve biopsy: Peripheral,,
2763,Nerve biopsy: Cranial nerves: Extra-cranial,,
2765,Nerve biopsy: Nerve conduction studies (see items 0733 and 3285),,
2767,Suture brachial plexus (see also items 2837 and 2839),,
2769,Suture: Large nerve: Primary,,
2771,Suture: Large nerve: Secondary,,
2773,Digital nerve: Primary,,
2775,Digital nerve: Secondary,,
2777,Nerve graft: Simple,,
2779,Fascicular: First fasciculus,,
2781,Fascicular: Each additional fasciculus,,
2783,Fascicular: Nerve flap: To include all stages,,
2785,Fascicular: Facio-accessory or facio-hypoglossal anastomosis,,
2787,Fascicular: Grafting of facial nerve,,
2789,Trigeminal ganglion: Injection of alcohol,,
2791,Trigeminal ganglion: Injection of cortisone,,
2793,Trigeminal ganglion: Coagulation through high frequency,,
2799,Procedures for pain relief: Intrathecal injections for pain,,
2800,Procedures for pain relief: Plexus nerve block,,
2801,Procedures for pain relief: Epidural injection for pain (refer to modifier 0045 for post-operative pain relief) (refer to modifier 0021 for epidural anaesthetic),,
2802,Procedures for pain relief: Peripheral nerve block,,
